"Department","DistinguishedName","Enabled","GivenName","mail","Manager","Name","ObjectClass","ObjectGUID","OfficePhone","SamAccountName","SID","sn","Surname","Title","UserPrincipalName","Office","EmployeeID","Description","StreetAddress","MobilePhone","EmployeeType","City","State","PostalCode"
"Sales","CN=Kevin Anderson","True","Kevin","kevina","CN=Dan Park","Kevin Anderson","user","87654321-4321-4321-4321-210987654326","(713) 555-7011","kevina","S-1-5-21-331390976-2650875657-2422772959-2012","Anderson","Anderson","Sales Representative","","Houston - Sales","EMP278","Sales Representative - Last login: 2024-08-15 (long absence)","321 Sales Tower","(713) 555-7012","Full-time","Houston","TX","77001"
"Engineering","CN=Susan Taylor","True","Susan","susant","CN=Christine Koch","Susan Taylor","user","87654321-4321-4321-4321-210987654327","(206) 555-7013","susant","S-1-5-21-331390976-2650875657-2422772959-2013","Taylor","Taylor","QA Engineer","","Seattle - Engineering","EMP279","QA Engineer - Last login: 2024-07-20 (extended leave)","456 Innovation Drive","(206) 555-7014","Full-time","Seattle","WA","98102"
"Project Management","CN=Mark Johnson","True","Mark","markj","CN=Alan Steiner","Mark Johnson","user","87654321-4321-4321-4321-210987654328","(206) 555-7015","markj","S-1-5-21-331390976-2650875657-2422772959-2014","Johnson","Johnson","Project Coordinator","","Seattle - Main","EMP280","Project Coordinator - Last login: 2024-09-05 (sabbatical)","123 Corporate Plaza","(206) 555-7016","Full-time","Seattle","WA","98101"
"Human Resources","CN=Nancy White","True","Nancy","nancyw","CN=Amy Alberts","Nancy White","user","87654321-4321-4321-4321-210987654329","(206) 555-7017","nancyw","S-1-5-21-331390976-2650875657-2422772959-2015","White","White","HR Specialist","","Seattle - Main","EMP281","HR Specialist - Last login: 2024-06-30 (maternity leave)","123 Corporate Plaza","(206) 555-7018","Full-time","Seattle","WA","98101"
"Operations","CN=Thomas Wilson","False","Thomas","thomasw","CN=Jeff Hay","Thomas Wilson","user","87654321-4321-4321-4321-210987654330","(206) 555-7019","thomasw","S-1-5-21-331390976-2650875657-2422772959-2016","Wilson","Wilson","Former Operations Manager","","Seattle - Main","EMP282","TERMINATED - Former Operations Manager, account disabled 2024-09-15","123 Corporate Plaza","(206) 555-7020","Full-time","Seattle","WA","98101"
"Engineering","CN=Patricia Garcia","True","Patricia","patriciag","CN=Christine Koch","Patricia Garcia","user","87654321-4321-4321-4321-210987654331","(206) 555-7021","patriciag","S-1-5-21-331390976-2650875657-2422772959-2017","Garcia","Garcia","DevOps Engineer","","Seattle - Engineering","EMP283","DevOps Engineer - Last login: 2024-05-15 (medical leave)","456 Innovation Drive","(206) 555-7022","Full-time","Seattle","WA","98102"
"Accounting","CN=James Lee","False","James","jamesl","CN=Karim Manar","James Lee","user","87654321-4321-4321-4321-210987654332","(206) 555-7023","jamesl","S-1-5-21-331390976-2650875657-2422772959-2018","Lee","Lee","Former Senior Accountant","","Seattle - Finance","EMP284","TERMINATED - Former Senior Accountant, account disabled 2025-02-01","789 Financial Center","(206) 555-7024","Full-time","Seattle","WA","98103"
"Marketing","CN=Maria Rodriguez","True","Maria","mariar","CN=Kelly Krout","Maria Rodriguez","user","87654321-4321-4321-4321-210987654333","(206) 555-7025","mariar","S-1-5-21-331390976-2650875657-2422772959-2019","Rodriguez","Rodriguez","Marketing Analyst","","Seattle - Main","EMP285","Marketing Analyst - Last login: 2024-04-10 (personal leave)","123 Corporate Plaza","(206) 555-7026","Contractor","Seattle","WA","98101"
"IT Support","CN=Christopher Miller","False","Christopher","christopherm","CN=Arturo Lopez","Christopher Miller","user","87654321-4321-4321-4321-210987654334","(206) 555-7027","christopherm","S-1-5-21-331390976-2650875657-2422772959-2020","Miller","Miller","Former Network Administrator","","Seattle - Main","EMP286","TERMINATED - Former Network Administrator, account disabled 2024-08-30","123 Corporate Plaza","(206) 555-7028","Full-time","Seattle","WA","98101"
"Sales","CN=Michelle Thompson","True","Michelle","michellt","CN=Dan Park","Michelle Thompson","user","87654321-4321-4321-4321-210987654335","(713) 555-7029","michellt","S-1-5-21-331390976-2650875657-2422772959-2021","Thompson","Thompson","Account Executive","","Houston - Sales","EMP287","Account Executive - Last login: 2024-03-25 (remote assignment)","321 Sales Tower","(713) 555-7030","Full-time","Houston","TX","77001"
"Engineering","CN=José Niño","True","José","josen","CN=Christine Koch","José Niño","user","","(206) 555-0311","josen","","Niño","Niño","Senior Network Engineer","josen","Seattle - Engineering","EMP288","Senior Network Engineer responsible for core routing and network automation","456 Innovation Drive","(206) 555-0312","Full-time","Seattle","WA","98102"
"Operations","CN=Björn Åberg","True","Björn","bjorna","CN=Arturo Lopez","Björn Åberg","user","","(206) 555-0313","bjorna","","Åberg","Åberg","IT Systems Administrator","bjorna","Seattle - Main","EMP289","IT Systems Administrator managing site infrastructure and badge systems","123 Corporate Plaza","(206) 555-0314","Full-time","Seattle","WA","98101"
"Accounting","CN=François Lefèvre","True","François","francoisl","CN=Karim Manar","François Lefèvre","user","","(206) 555-0315","francoisl","","Lefèvre","Lefèvre","Financial Analyst","francoisl","Seattle - Finance","EMP290","Financial Analyst covering entity reporting and statutory consolidation","789 Finance Center","(206) 555-0316","Full-time","Seattle","WA","98103"
"Marketing","CN=Renée Dubois","True","Renée","reneed","CN=Diane Prescott","Renée Dubois","user","","(206) 555-0317","reneed","","Dubois","Dubois","Marketing Manager","reneed","Seattle - Main","EMP291","Marketing Manager for brand campaigns and creative production","123 Corporate Plaza","(206) 555-0318","Full-time","Seattle","WA","98101"
"Human Resources","CN=Zoë Müller","True","Zoë","zoem","CN=Garth Fort","Zoë Müller","user","","(206) 555-0319","zoem","","Müller","Müller","HR Specialist","zoem","Seattle - Main","EMP292","HR Specialist handling onboarding, offboarding and records retention","123 Corporate Plaza","(206) 555-0320","Full-time","Seattle","WA","98101"
"Sales","CN=Lars Sørensen","True","Lars","larss","CN=Molly Clark","Lars Sørensen","user","","(713) 555-0321","larss","","Sørensen","Sørensen","Account Executive","larss","Houston - Sales","EMP293","Account Executive covering the south-central territory","321 Sales Tower","(713) 555-0322","Full-time","Houston","TX","77001"
